eventDate,paddockId,value,paddockSize
30/08/2014,873,1201,3.896162752
30/08/2014,874,1101,2.441244515
30/08/2014,875,1519,2.297550985
30/08/2014,876,1081,5.326136969
30/08/2014,878,955,2.163398011
30/08/2014,880,1098,2.215764453
30/08/2014,881,1165,3.308539222
30/08/2014,884,1042,3.042695608
30/08/2014,885,1001,3.667713163
30/08/2014,886,975,5.030044973
30/08/2014,887,1104,5.679840426
30/08/2014,888,1090,2.431555744
30/08/2014,889,1152,3.555629809
30/08/2014,890,1166,2.918525691
30/08/2014,891,1192,3.058411991
30/08/2014,892,964,2.923051995
30/08/2014,893,928,4.73814061
9/09/2014,937,1525,5.194722556
9/09/2014,933,1302,3.463323135
9/09/2014,915,1082,4.100257383
9/09/2014,913,1170,6.458700545
9/09/2014,912,1119,3.80418638
9/09/2014,891,1199,3.058411991
9/09/2014,888,1026,2.431555744
9/09/2014,887,1052,5.679840426
9/09/2014,884,1176,3.042695608
9/09/2014,881,1138,3.308539222
9/09/2014,874,1142,2.441244515
9/09/2014,865,1253,2.24654384
9/09/2014,863,1062,3.725488777
1/10/2014,945,1293,7.274207882
1/10/2014,944,1430,10.92204744
1/10/2014,941,1567,8.838684959
1/10/2014,940,1412,2.374920961
1/10/2014,939,1745,5.291838734
1/10/2014,938,1701,5.944417265
1/10/2014,937,1775,5.194722556
1/10/2014,936,1696,3.294614693
1/10/2014,935,1754,2.975802209
1/10/2014,934,1509,3.058029825
1/10/2014,933,1460,3.463323135
1/10/2014,932,1585,3.226488473
1/10/2014,931,1436,3.373327961
1/10/2014,930,1630,2.841997011
1/10/2014,929,1724,2.972386725
1/10/2014,928,1722,3.145816446
1/10/2014,927,1824,6.982018381
1/10/2014,926,1545,5.07119798
1/10/2014,925,1375,4.647761062
1/10/2014,924,1794,2.124841665
1/10/2014,923,1437,3.129891734
1/10/2014,922,1455,3.445599554
1/10/2014,921,1517,5.148090268
1/10/2014,920,1702,2.754501266
1/10/2014,919,1436,2.9301987
1/10/2014,918,1511,1.3796371
1/10/2014,917,1475,2.292311486
1/10/2014,916,1697,2.469693385
1/10/2014,915,1448,4.100257383
1/10/2014,913,1370,6.458700545
1/10/2014,912,1420,3.80418638
1/10/2014,910,1281,3.483488476
1/10/2014,909,1258,3.398476422
1/10/2014,908,1473,6.507007785
1/10/2014,907,1379,4.230977739
1/10/2014,904,1464,3.729966835
1/10/2014,903,1526,4.541210638
1/10/2014,902,1348,2.811245684
1/10/2014,901,1272,5.43063771
1/10/2014,900,1363,8.22600469
1/10/2014,898,1548,10.10182421
1/10/2014,897,1415,5.240167843
1/10/2014,896,1445,6.542587138
1/10/2014,895,1523,3.120765478
1/10/2014,894,1263,8.903115776
1/10/2014,893,1150,4.73814061
1/10/2014,892,1248,2.923051995
1/10/2014,891,1355,3.058411991
1/10/2014,890,1417,2.918525691
1/10/2014,889,1448,3.555629809
1/10/2014,888,1483,2.431555744
1/10/2014,887,1525,5.679840426
1/10/2014,886,1553,5.030044973
1/10/2014,885,1602,3.667713163
1/10/2014,884,1539,3.042695608
1/10/2014,883,1500,1.581501563
1/10/2014,881,1829,3.308539222
1/10/2014,880,1508,2.215764453
1/10/2014,878,1320,2.163398011
1/10/2014,876,1650,5.326136969
1/10/2014,875,3100,2.297550985
1/10/2014,874,1664,2.441244515
1/10/2014,873,1768,3.896162752
1/10/2014,868,1745,2.125117523
1/10/2014,863,1594,3.725488777
1/10/2014,862,1229,2.52104187
1/10/2014,860,1334,7.023859853
1/10/2014,856,1493,2.497542403
1/10/2014,855,1483,4.494255067
1/10/2014,853,1383,3.998670166
1/10/2014,852,1432,3.344493897
1/10/2014,851,1518,5.074070584
29/10/2014,931,1300,3.373327961
31/10/2014,893,1711,4.73814061
31/10/2014,885,2014,3.667713163
31/10/2014,878,1572,2.163398011
31/10/2014,881,2329,3.308539222
31/10/2014,880,2182,2.215764453
31/10/2014,888,2397,2.431555744
31/10/2014,891,1926,3.058411991
31/10/2014,892,1785,2.923051995
31/10/2014,894,1626,8.903115776
31/10/2014,908,1771,6.507007785
31/10/2014,895,1508,3.120765478
31/10/2014,896,1469,6.542587138
31/10/2014,907,1765,4.230977739
31/10/2014,920,2390,2.754501266
31/10/2014,901,1450,5.43063771
31/10/2014,902,1530,2.811245684
31/10/2014,900,1637,8.22600469
31/10/2014,897,1544,5.240167843
31/10/2014,898,1471,10.10182421
31/10/2014,853,1397,3.998670166
31/10/2014,904,1380,3.729966835
31/10/2014,856,1978,2.497542403
31/10/2014,855,1851,4.494255067
31/10/2014,912,1390,3.80418638
31/10/2014,918,2113,1.3796371
31/10/2014,917,1505,2.292311486
31/10/2014,916,2186,2.469693385
31/10/2014,915,2178,4.100257383
31/10/2014,909,1436,3.398476422
31/10/2014,910,1306,3.483488476
31/10/2014,851,1814,5.074070584
31/10/2014,874,1958,2.441244515
31/10/2014,940,1897,2.374920961
31/10/2014,945,1623,7.274207882
31/10/2014,941,1691,8.838684959
31/10/2014,865,1700,2.24654384
